Yýl;Ýl Kodu;Ýl Adý;Ýlce Kodu;Ýlce Adý;Ürün Adý;Ekilen Alan(dekar);Hasat Edilen Alan(dekar);Üretim Miktari(ton);Verim (Kg/Dekar);Rakým (m);Ortalama Sýcaklýk (°C);Nem Oraný (%);Yaðýþ Oraný (mm);Güneþ Iþýðý (saat/gün);;;;;
2012;19;ÇORUM;11;OSMANCIK;Buðday (Durum) Sulu;  2 257;  2 257;   828;   367;420;13.0;66;460;6.4;;;;;
2012;19;ÇORUM;11;OSMANCIK;Buðday (Diðer) Kuru;  45 169;  45 169;  8 943;   198;420;13.0;66;460;6.4;;;;;
2012;19;ÇORUM;11;OSMANCIK;Buðday (Diðer) Sulu;  16 409;  16 409;  6 153;   375;420;13.0;66;460;6.4;;;;;
2012;19;ÇORUM;12;SUNGURLU;Buðday (Durum) Kuru;  74 933;  74 933;  13 488;   180;780;12.5;67;480;6.1;;;;;
2012;19;ÇORUM;12;SUNGURLU;Buðday (Durum) Sulu;  7 430;  7 430;  2 415;   325;780;12.5;67;480;6.1;;;;;
2012;19;ÇORUM;12;SUNGURLU;Buðday (Diðer) Kuru;  402 000;  402 000;  86 832;   216;780;12.5;67;480;6.1;;;;;
2012;19;ÇORUM;12;SUNGURLU;Buðday (Diðer) Sulu;  32 501;  32 501;  12 480;   384;780;12.5;67;480;6.1;;;;;
2012;19;ÇORUM;13;UÐURLUDAÐ;Buðday (Durum) Kuru;  19 862;  19 862;  3 377;   170;810;12.4;68;470;6.2;;;;;
2012;19;ÇORUM;13;UÐURLUDAÐ;Buðday (Durum) Sulu;   ;   ;   ;   270;810;12.4;68;470;6.2;;;;;
2012;19;ÇORUM;13;UÐURLUDAÐ;Buðday (Diðer) Kuru;  58 683;  58 683;  11 737;   200;810;12.4;68;470;6.2;;;;;
2012;19;ÇORUM;13;UÐURLUDAÐ;Buðday (Diðer) Sulu;   ;   ;   ;   270;810;12.4;68;470;6.2;;;;;
2012;20;DENÝZLÝ;0;MERKEZ;Buðday (Durum) Kuru;  2 708;  2 708;   818;   302;354;16.5;58;540;7.3;;;;;
2012;20;DENÝZLÝ;0;MERKEZ;Buðday (Durum) Sulu;  10 834;  10 834;  5 146;   475;354;16.5;58;540;7.3;;;;;
2012;20;DENÝZLÝ;0;MERKEZ;Buðday (Diðer) Kuru;  9 931;  9 931;  2 999;   302;354;16.5;58;540;7.3;;;;;
2012;20;DENÝZLÝ;0;MERKEZ;Buðday (Diðer) Sulu;  36 112;  36 112;  19 500;   540;354;16.5;58;540;7.3;;;;;
2012;20;DENÝZLÝ;1;ACIPAYAM;Buðday (Durum) Kuru;  14 000;  14 000;  2 660;   190;895;14.8;60;520;7.0;;;;;
2012;20;DENÝZLÝ;1;ACIPAYAM;Buðday (Durum) Sulu;  74 030;  74 030;  33 314;   450;895;14.8;60;520;7.0;;;;;
2012;20;DENÝZLÝ;1;ACIPAYAM;Buðday (Diðer) Kuru;  8 577;  8 577;  1 715;   200;895;14.8;60;520;7.0;;;;;
2012;20;DENÝZLÝ;1;ACIPAYAM;Buðday (Diðer) Sulu;  47 398;  47 398;  22 751;   480;895;14.8;60;520;7.0;;;;;
2012;20;DENÝZLÝ;2;AKKÖY;Buðday (Durum) Kuru;;;;   285;450;16.2;59;530;7.2;;;;;
2012;20;DENÝZLÝ;2;AKKÖY;Buðday (Durum) Sulu;;;;   500;450;16.2;59;530;7.2;;;;;
2012;20;DENÝZLÝ;2;AKKÖY;Buðday (Diðer) Kuru;  26 722;  26 722;  7 616;   285;450;16.2;59;530;7.2;;;;;
2012;20;DENÝZLÝ;2;AKKÖY;Buðday (Diðer) Sulu;  12 820;  12 820;  6 410;   500;450;16.2;59;530;7.2;;;;;
2012;20;DENÝZLÝ;3;BABADAÐ;Buðday (Durum) Kuru;;;;   245;850;14.5;61;510;7.1;;;;;
2012;20;DENÝZLÝ;3;BABADAÐ;Buðday (Durum) Sulu;;;;   355;850;14.5;61;510;7.1;;;;;
2012;20;DENÝZLÝ;3;BABADAÐ;Buðday (Diðer) Kuru;  7 132;  7 132;  1 747;   245;850;14.5;61;510;7.1;;;;;
2012;20;DENÝZLÝ;3;BABADAÐ;Buðday (Diðer) Sulu;;;;   355;850;14.5;61;510;7.1;;;;;
2012;20;DENÝZLÝ;4;BAKLAN;Buðday (Durum) Kuru;   90;   90;   19;   216;850;14.5;62;510;7.1;;;;;
2012;20;DENÝZLÝ;4;BAKLAN;Buðday (Durum) Sulu;  18 959;  18 959;  8 058;   425;850;14.5;62;510;7.1;;;;;
2012;20;DENÝZLÝ;4;BAKLAN;Buðday (Diðer) Kuru;   90;   90;   23;   250;850;14.5;62;510;7.1;;;;;
2012;20;DENÝZLÝ;4;BAKLAN;Buðday (Diðer) Sulu;  3 160;  3 160;  1 390;   440;850;14.5;62;510;7.1;;;;;
2012;20;DENÝZLÝ;5;BEKÝLLÝ;Buðday (Durum) Kuru;  8 577;  8 577;  2 144;   250;950;14.0;63;500;7.0;;;;;
2012;20;DENÝZLÝ;5;BEKÝLLÝ;Buðday (Durum) Sulu;;;;   310;950;14.0;63;500;7.0;;;;;
2012;20;DENÝZLÝ;5;BEKÝLLÝ;Buðday (Diðer) Kuru;  1 354;  1 354;   359;   265;950;14.0;63;500;7.0;;;;;
2012;20;DENÝZLÝ;5;BEKÝLLÝ;Buðday (Diðer) Sulu;;;;   310;950;14.0;63;500;7.0;;;;;
2012;20;DENÝZLÝ;6;BEYAÐAÇ;Buðday (Durum) Kuru;   903;   903;   181;   200;950;14.0;62;510;7.0;;;;;
2012;20;DENÝZLÝ;6;BEYAÐAÇ;Buðday (Durum) Sulu;   45;   45;   11;   240;950;14.0;62;510;7.0;;;;;
2012;20;DENÝZLÝ;6;BEYAÐAÇ;Buðday (Diðer) Kuru;   ;   ;   ;   240;950;14.0;62;510;7.0;;;;;
2012;20;DENÝZLÝ;6;BEYAÐAÇ;Buðday (Diðer) Sulu;  5 504;  5 504;  1 321;   240;950;14.0;62;510;7.0;;;;;
2012;20;DENÝZLÝ;7;BOZKURT;Buðday (Durum) Kuru;  10 111;  10 111;  2 932;   290;850;14.5;61;520;7.1;;;;;
2012;20;DENÝZLÝ;7;BOZKURT;Buðday (Durum) Sulu;   ;   ;   ;   495;850;14.5;61;520;7.1;;;;;
2012;20;DENÝZLÝ;7;BOZKURT;Buðday (Diðer) Kuru;  20 844;  20 844;  6 774;   325;850;14.5;61;520;7.1;;;;;
2012;20;DENÝZLÝ;7;BOZKURT;Buðday (Diðer) Sulu;  6 314;  6 314;  3 125;   495;850;14.5;61;520;7.1;;;;;
2012;20;DENÝZLÝ;8;BULDAN;Buðday (Durum) Kuru;;;;   245;690;15.0;60;530;7.2;;;;;
2012;20;DENÝZLÝ;8;BULDAN;Buðday (Durum) Sulu;;;;   535;690;15.0;60;530;7.2;;;;;
2012;20;DENÝZLÝ;8;BULDAN;Buðday (Diðer) Kuru;  21 216;  21 216;  5 198;   245;690;15.0;60;530;7.2;;;;;
2012;20;DENÝZLÝ;8;BULDAN;Buðday (Diðer) Sulu;   451;   451;   241;   535;690;15.0;60;530;7.2;;;;;
2012;20;DENÝZLÝ;9;ÇAL;Buðday (Durum) Kuru;  9 028;  9 028;  2 167;   240;835;14.5;61;520;7.1;;;;;
2012;20;DENÝZLÝ;9;ÇAL;Buðday (Durum) Sulu;  3 611;  3 611;  1 560;   432;835;14.5;61;520;7.1;;;;;
2012;20;DENÝZLÝ;9;ÇAL;Buðday (Diðer) Kuru;  7 222;  7 222;  1 914;   265;835;14.5;61;520;7.1;;;;;
2012;20;DENÝZLÝ;9;ÇAL;Buðday (Diðer) Sulu;  4 514;  4 514;  2 009;   445;835;14.5;61;520;7.1;;;;;
2012;20;DENÝZLÝ;10;ÇAMELÝ;Buðday (Durum) Kuru;  20 429;  20 429;  3 922;   192;1350;13.5;63;490;7.0;;;;;
2012;20;DENÝZLÝ;10;ÇAMELÝ;Buðday (Durum) Sulu;  5 121;  5 121;  2 074;   405;1350;13.5;63;490;7.0;;;;;
2012;20;DENÝZLÝ;10;ÇAMELÝ;Buðday (Diðer) Kuru;  6 320;  6 320;  1 251;   198;1350;13.5;63;490;7.0;;;;;
2012;20;DENÝZLÝ;10;ÇAMELÝ;Buðday (Diðer) Sulu;  8 622;  8 622;  3 664;   425;1350;13.5;63;490;7.0;;;;;
2012;20;DENÝZLÝ;11;ÇARDAK;Buðday (Durum) Kuru;  1 417;  1 417;   322;   227;850;14.5;62;510;7.1;;;;;
2012;20;DENÝZLÝ;11;ÇARDAK;Buðday (Durum) Sulu;  4 604;  4 604;  1 911;   415;850;14.5;62;510;7.1;;;;;
2012;20;DENÝZLÝ;11;ÇARDAK;Buðday (Diðer) Kuru;  1 806;  1 806;   452;   250;850;14.5;62;510;7.1;;;;;
2012;20;DENÝZLÝ;11;ÇARDAK;Buðday (Diðer) Sulu;  5 272;  5 272;  2 320;   440;850;14.5;62;510;7.1;;;;;
2012;20;DENÝZLÝ;12;ÇÝVRÝL;Buðday (Durum) Kuru;  31 644;  31 644;  6 329;   200;836;14.8;60;520;7.0;;;;;
2012;20;DENÝZLÝ;12;ÇÝVRÝL;Buðday (Durum) Sulu;  45 095;  45 095;  17 813;   395;836;14.8;60;520;7.0;;;;;
2012;20;DENÝZLÝ;12;ÇÝVRÝL;Buðday (Diðer) Kuru;  4 604;  4 604;  1 105;   240;836;14.8;60;520;7.0;;;;;
2012;20;DENÝZLÝ;12;ÇÝVRÝL;Buðday (Diðer) Sulu;  7 132;  7 132;  2 853;   400;836;14.8;60;520;7.0;;;;;
2012;20;DENÝZLÝ;13;GÜNEY;Buðday (Durum) Kuru;  6 771;  6 771;  1 557;   230;800;14.7;61;515;7.1;;;;;
2012;20;DENÝZLÝ;13;GÜNEY;Buðday (Durum) Sulu;;;;   310;800;14.7;61;515;7.1;;;;;
2012;20;DENÝZLÝ;13;GÜNEY;Buðday (Diðer) Kuru;  7 222;  7 222;  1 806;   250;800;14.7;61;515;7.1;;;;;
2012;20;DENÝZLÝ;13;GÜNEY;Buðday (Diðer) Sulu;;;;   310;800;14.7;61;515;7.1;;;;;
2012;20;DENÝZLÝ;14;HONAZ;Buðday (Durum) Kuru;   ;   ;   ;   240;950;14.0;62;510;7.0;;;;;
2012;20;DENÝZLÝ;14;HONAZ;Buðday (Durum) Sulu;   226;   226;   98;   432;950;14.0;62;510;7.0;;;;;
2012;20;DENÝZLÝ;14;HONAZ;Buðday (Diðer) Kuru;  20 295;  20 295;  5 886;   290;950;14.0;62;510;7.0;;;;;
2012;20;DENÝZLÝ;14;HONAZ;Buðday (Diðer) Sulu;  39 182;  39 182;  17 632;   450;950;14.0;62;510;7.0;;;;;
2012;20;DENÝZLÝ;15;KALE;Buðday (Durum) Kuru;;;;   240;1050;13.5;63;500;6.9;;;;;
2012;20;DENÝZLÝ;15;KALE;Buðday (Durum) Sulu;;;;   310;1050;13.5;63;500;6.9;;;;;
2012;20;DENÝZLÝ;15;KALE;Buðday (Diðer) Kuru;  9 028;  9 028;  2 167;   240;1050;13.5;63;500;6.9;;;;;
2012;20;DENÝZLÝ;15;KALE;Buðday (Diðer) Sulu;;;;   310;1050;13.5;63;500;6.9;;;;;
2012;20;DENÝZLÝ;16;SARAYKÖY;Buðday (Durum) Kuru;;;;   302;200;16.0;58;540;7.3;;;;;
2012;20;DENÝZLÝ;16;SARAYKÖY;Buðday (Durum) Sulu;;;;   518;200;16.0;58;540;7.3;;;;;
2012;20;DENÝZLÝ;16;SARAYKÖY;Buðday (Diðer) Kuru;  13 385;  13 385;  4 042;   302;200;16.0;58;540;7.3;;;;;
2012;20;DENÝZLÝ;16;SARAYKÖY;Buðday (Diðer) Sulu;  34 411;  34 411;  17 825;   518;200;16.0;58;540;7.3;;;;;
2012;20;DENÝZLÝ;17;SERÝNHÝSAR;Buðday (Durum) Kuru;;;;   216;950;14.0;62;510;7.0;;;;;
2012;20;DENÝZLÝ;17;SERÝNHÝSAR;Buðday (Durum) Sulu;;;;   420;950;14.0;62;510;7.0;;;;;
2012;20;DENÝZLÝ;17;SERÝNHÝSAR;Buðday (Diðer) Kuru;  2 708;  2 708;   585;   216;950;14.0;62;510;7.0;;;;;
2012;20;DENÝZLÝ;17;SERÝNHÝSAR;Buðday (Diðer) Sulu;  2 257;  2 257;   948;   420;950;14.0;62;510;7.0;;;;;
2012;20;DENÝZLÝ;18;TAVAS;Buðday (Durum) Kuru;  72 472;  72 472;  16 669;   230;1050;13.5;63;500;6.9;;;;;
2012;20;DENÝZLÝ;18;TAVAS;Buðday (Durum) Sulu;  13 542;  13 542;  6 094;   450;1050;13.5;63;500;6.9;;;;;
2012;20;DENÝZLÝ;18;TAVAS;Buðday (Diðer) Kuru;  40 542;  40 542;  9 649;   238;1050;13.5;63;500;6.9;;;;;
2012;20;DENÝZLÝ;18;TAVAS;Buðday (Diðer) Sulu;  8 035;  8 035;  3 817;   475;1050;13.5;63;500;6.9;;;;;
2012;21;DÝYARBAKIR;1;BÝSMÝL;Buðday (Durum) Kuru;  190 000;  190 000;  43 700;   230;550;16.0;56;470;7.4;;;;;
2012;21;DÝYARBAKIR;1;BÝSMÝL;Buðday (Durum) Sulu;  60 188;  60 188;  25 580;   425;550;16.0;56;470;7.4;;;;;
2012;21;DÝYARBAKIR;1;BÝSMÝL;Buðday (Diðer) Kuru;  311 000;  311 000;  80 860;   260;550;16.0;56;470;7.4;;;;;
2012;21;DÝYARBAKIR;1;BÝSMÝL;Buðday (Diðer) Sulu;  101 115;  101 115;  43 682;   432;550;16.0;56;470;7.4;;;;;
2012;21;DÝYARBAKIR;2;ÇERMÝK;Buðday (Durum) Kuru;  59 585;  59 585;  12 513;   210;700;15.2;58;480;7.2;;;;;
2012;21;DÝYARBAKIR;2;ÇERMÝK;Buðday (Durum) Sulu;  2 708;  2 708;  1 053;   389;700;15.2;58;480;7.2;;;;;
2012;21;DÝYARBAKIR;2;ÇERMÝK;Buðday (Diðer) Kuru;  36 564;  36 564;  8 410;   230;700;15.2;58;480;7.2;;;;;
2012;21;DÝYARBAKIR;2;ÇERMÝK;Buðday (Diðer) Sulu;  1 806;  1 806;   759;   420;700;15.2;58;480;7.2;;;;;
2012;21;DÝYARBAKIR;3;ÇINAR;Buðday (Durum) Kuru;  63 197;  63 197;  15 799;   250;610;16.2;55;460;7.5;;;;;
2012;21;DÝYARBAKIR;3;ÇINAR;Buðday (Durum) Sulu;  242 759;  242 759;  104 386;   430;610;16.2;55;460;7.5;;;;;
2012;21;DÝYARBAKIR;3;ÇINAR;Buðday (Diðer) Kuru;  9 028;  9 028;  2 347;   260;610;16.2;55;460;7.5;;;;;
2012;21;DÝYARBAKIR;3;ÇINAR;Buðday (Diðer) Sulu;  63 197;  63 197;  30 335;   480;610;16.2;55;460;7.5;;;;;
2012;21;DÝYARBAKIR;4;ÇÜNGÜÞ;Buðday (Durum) Kuru;   ;   ;   ;   210;800;15.0;57;490;7.1;;;;;
2012;21;DÝYARBAKIR;4;ÇÜNGÜÞ;Buðday (Durum) Sulu;   ;   ;   ;   300;800;15.0;57;490;7.1;;;;;
2012;21;DÝYARBAKIR;4;ÇÜNGÜÞ;Buðday (Diðer) Kuru;  14 896;  14 896;  3 128;   210;800;15.0;57;490;7.1;;;;;
2012;21;DÝYARBAKIR;4;ÇÜNGÜÞ;Buðday (Diðer) Sulu;   181;   181;   42;   230;800;15.0;57;490;7.1;;;;;
2012;21;DÝYARBAKIR;5;DÝCLE;Buðday (Durum) Kuru;  4 965;  4 965;  1 167;   235;650;15.5;56;470;7.3;;;;;
2012;21;DÝYARBAKIR;5;DÝCLE;Buðday (Durum) Sulu;   542;   542;   234;   432;650;15.5;56;470;7.3;;;;;
2012;21;DÝYARBAKIR;5;DÝCLE;Buðday (Diðer) Kuru;  112 000;  112 000;  29 120;   260;650;15.5;56;470;7.3;;;;;
2012;21;DÝYARBAKIR;5;DÝCLE;Buðday (Diðer) Sulu;  2 708;  2 708;  1 219;   450;650;15.5;56;470;7.3;;;;;
2012;21;DÝYARBAKIR;6;EÐÝL;Buðday (Durum) Kuru;  18 056;  18 056;  4 695;   260;680;15.3;57;480;7.2;;;;;
2012;21;DÝYARBAKIR;6;EÐÝL;Buðday (Durum) Sulu;   ;   ;   ;   400;680;15.3;57;480;7.2;;;;;
2012;21;DÝYARBAKIR;6;EÐÝL;Buðday (Diðer) Kuru;  21 667;  21 667;  5 850;   270;680;15.3;57;480;7.2;;;;;
2012;21;DÝYARBAKIR;6;EÐÝL;Buðday (Diðer) Sulu;   ;   ;   ;   410;680;15.3;57;480;7.2;;;;;
2012;21;DÝYARBAKIR;7;ERGANÝ;Buðday (Durum) Kuru;  103 823;  103 823;  28 032;   270;660;15.4;56;470;7.3;;;;;
2012;21;DÝYARBAKIR;7;ERGANÝ;Buðday (Durum) Sulu;  9 028;  9 028;  4 063;   450;660;15.4;56;470;7.3;;;;;
2012;21;DÝYARBAKIR;7;ERGANÝ;Buðday (Diðer) Kuru;  192 000;  192 000;  53 952;   281;660;15.4;56;470;7.3;;;;;
2012;21;DÝYARBAKIR;7;ERGANÝ;Buðday (Diðer) Sulu;  12 768;  12 768;  5 924;   464;660;15.4;56;470;7.3;;;;;
2012;21;DÝYARBAKIR;8;HANÝ;Buðday (Durum) Kuru;  37 015;  37 015;  9 624;   260;640;15.5;55;460;7.4;;;;;
2012;21;DÝYARBAKIR;8;HANÝ;Buðday (Durum) Sulu;  7 222;  7 222;  2 889;   400;640;15.5;55;460;7.4;;;;;
2012;21;DÝYARBAKIR;8;HANÝ;Buðday (Diðer) Kuru;  9 028;  9 028;  2 438;   270;640;15.5;55;460;7.4;;;;;
2012;21;DÝYARBAKIR;8;HANÝ;Buðday (Diðer) Sulu;  2 347;  2 347;   986;   420;640;15.5;55;460;7.4;;;;;
2012;21;DÝYARBAKIR;9;HAZRO;Buðday (Durum) Kuru;  1 264;  1 264;   301;   238;720;15.0;57;470;7.2;;;;;
2012;21;DÝYARBAKIR;9;HAZRO;Buðday (Durum) Sulu;   181;   181;   80;   443;720;15.0;57;470;7.2;;;;;
2012;21;DÝYARBAKIR;9;HAZRO;Buðday (Diðer) Kuru;  105 000;  105 000;  27 300;   260;720;15.0;57;470;7.2;;;;;
2012;21;DÝYARBAKIR;9;HAZRO;Buðday (Diðer) Sulu;  5 925;  5 925;  2 749;   464;720;15.0;57;470;7.2;;;;;
2012;21;DÝYARBAKIR;10;KOCAKÖY;Buðday (Durum) Kuru;  1 138;  1 138;   271;   238;550;16.2;55;460;7.5;;;;;
2012;21;DÝYARBAKIR;10;KOCAKÖY;Buðday (Durum) Sulu;   ;   ;   ;   450;550;16.2;55;460;7.5;;;;;
2012;21;DÝYARBAKIR;10;KOCAKÖY;Buðday (Diðer) Kuru;  105 177;  105 177;  28 924;   275;550;16.2;55;460;7.5;;;;;
2012;21;DÝYARBAKIR;10;KOCAKÖY;Buðday (Diðer) Sulu;  3 160;  3 160;  1 454;   460;550;16.2;55;460;7.5;;;;;
2012;21;DÝYARBAKIR;11;KULP;Buðday (Durum) Kuru;  35 435;  35 435;  7 619;   215;850;14.8;58;490;7.0;;;;;
2012;21;DÝYARBAKIR;11;KULP;Buðday (Durum) Sulu;  9 028;  9 028;  3 792;   420;850;14.8;58;490;7.0;;;;;
2012;21;DÝYARBAKIR;11;KULP;Buðday (Diðer) Kuru;  22 751;  22 751;  5 688;   250;850;14.8;58;490;7.0;;;;;
2012;21;DÝYARBAKIR;11;KULP;Buðday (Diðer) Sulu;  4 333;  4 333;  1 872;   432;850;14.8;58;490;7.0;;;;;
2012;21;DÝYARBAKIR;12;LÝCE;Buðday (Durum) Kuru;  78 093;  78 093;  18 742;   240;900;14.5;59;500;6.9;;;;;
2012;21;DÝYARBAKIR;12;LÝCE;Buðday (Durum) Sulu;  4 965;  4 965;  2 185;   440;900;14.5;59;500;6.9;;;;;
2012;21;DÝYARBAKIR;12;LÝCE;Buðday (Diðer) Kuru;   948;   948;   242;   255;900;14.5;59;500;6.9;;;;;
2012;21;DÝYARBAKIR;12;LÝCE;Buðday (Diðer) Sulu;   858;   858;   395;   460;900;14.5;59;500;6.9;;;;;
2012;21;DÝYARBAKIR;13;SÝLVAN;Buðday (Durum) Kuru;  392 388;  392 388;  94 173;   240;610;15.8;57;470;7.3;;;;;
2012;21;DÝYARBAKIR;13;SÝLVAN;Buðday (Durum) Sulu;  6 654;  6 654;  2 728;   410;610;15.8;57;470;7.3;;;;;
2012;21;DÝYARBAKIR;13;SÝLVAN;Buðday (Diðer) Kuru;  85 000;  85 000;  22 950;   270;610;15.8;57;470;7.3;;;;;
2012;21;DÝYARBAKIR;13;SÝLVAN;Buðday (Diðer) Sulu;   ;   ;   ;   420;610;15.8;57;470;7.3;;;;;
2012;21;DÝYARBAKIR;14;BAÐLAR;Buðday (Durum) Kuru;  19 970;  19 970;  4 593;   230;675;16.0;56;460;7.4;;;;;
2012;21;DÝYARBAKIR;14;BAÐLAR;Buðday (Durum) Sulu;  8 920;  8 920;  3 613;   405;675;16.0;56;460;7.4;;;;;
2012;21;DÝYARBAKIR;14;BAÐLAR;Buðday (Diðer) Kuru;  46 269;  46 269;  11 799;   255;675;16.0;56;460;7.4;;;;;
2012;21;DÝYARBAKIR;14;BAÐLAR;Buðday (Diðer) Sulu;  12 414;  12 414;  5 586;   450;675;16.0;56;460;7.4;;;;;
2012;21;DÝYARBAKIR;15;KAYAPINAR;Buðday (Durum) Kuru;  36 112;  36 112;  8 595;   238;650;15.9;57;470;7.3;;;;;
2012;21;DÝYARBAKIR;15;KAYAPINAR;Buðday (Durum) Sulu;  13 542;  13 542;  5 552;   410;650;15.9;57;470;7.3;;;;;
2012;21;DÝYARBAKIR;15;KAYAPINAR;Buðday (Diðer) Kuru;  29 007;  29 007;  7 484;   258;650;15.9;57;470;7.3;;;;;
2012;21;DÝYARBAKIR;15;KAYAPINAR;Buðday (Diðer) Sulu;  24 259;  24 259;  11 353;   468;650;15.9;57;470;7.3;;;;;
2012;21;DÝYARBAKIR;16;SUR;Buðday (Durum) Kuru;  45 141;  45 141;  12 414;   275;650;15.8;57;470;7.3;;;;;
2012;21;DÝYARBAKIR;16;SUR;Buðday (Durum) Sulu;  5 417;  5 417;  2 465;   455;650;15.8;57;470;7.3;;;;;
2012;21;DÝYARBAKIR;16;SUR;Buðday (Diðer) Kuru;  565 000;  565 000;  169 500;   300;650;15.8;57;470;7.3;;;;;
2012;21;DÝYARBAKIR;16;SUR;Buðday (Diðer) Sulu;  40 626;  40 626;  19 094;   470;650;15.8;57;470;7.3;;;;;
2012;21;DÝYARBAKIR;17;YENÝÞEHÝR;Buðday (Durum) Kuru;  5 868;  5 868;  1 643;   280;700;15.5;56;470;7.2;;;;;
2012;21;DÝYARBAKIR;17;YENÝÞEHÝR;Buðday (Durum) Sulu;  23 022;  23 022;  10 935;   475;700;15.5;56;470;7.2;;;;;
2012;21;DÝYARBAKIR;17;YENÝÞEHÝR;Buðday (Diðer) Kuru;  10 292;  10 292;  2 892;   281;700;15.5;56;470;7.2;;;;;
2012;21;DÝYARBAKIR;17;YENÝÞEHÝR;Buðday (Diðer) Sulu;  42 000;  42 000;  20 412;   486;700;15.5;56;470;7.2;;;;;
2012;22;EDÝRNE;0;MERKEZ;Buðday (Durum) Kuru;;;;   470;28;15.3;70;630;6.5;;;;;
2012;22;EDÝRNE;0;MERKEZ;Buðday (Durum) Sulu;;;;   570;28;15.3;70;630;6.5;;;;;
2012;22;EDÝRNE;0;MERKEZ;Buðday (Diðer) Kuru;  230 609;  230 609;  108 386;   470;28;15.3;70;630;6.5;;;;;
2012;22;EDÝRNE;0;MERKEZ;Buðday (Diðer) Sulu;  14 720;  14 720;  8 390;   570;28;15.3;70;630;6.5;;;;;
2012;22;EDÝRNE;1;ENEZ;Buðday (Durum) Kuru;;;;   430;5;15.2;68;620;6.6;;;;;
2012;22;EDÝRNE;1;ENEZ;Buðday (Durum) Sulu;;;;   530;5;15.2;68;620;6.6;;;;;
2012;22;EDÝRNE;1;ENEZ;Buðday (Diðer) Kuru;  46 122;  46 122;  19 832;   430;5;15.2;68;620;6.6;;;;;
2012;22;EDÝRNE;1;ENEZ;Buðday (Diðer) Sulu;  13 418;  13 418;  7 112;   530;5;15.2;68;620;6.6;;;;;
2012;22;EDÝRNE;2;HAVSA;Buðday (Durum) Kuru;;;;   440;20;15.5;69;640;6.4;;;;;
2012;22;EDÝRNE;2;HAVSA;Buðday (Durum) Sulu;;;;   540;20;15.5;69;640;6.4;;;;;
2012;22;EDÝRNE;2;HAVSA;Buðday (Diðer) Kuru;  176 637;  176 637;  77 720;   440;20;15.5;69;640;6.4;;;;;
2012;22;EDÝRNE;2;HAVSA;Buðday (Diðer) Sulu;  14 720;  14 720;  7 949;   540;20;15.5;69;640;6.4;;;;;
2012;22;EDÝRNE;3;ÝPSALA;Buðday (Durum) Kuru;;;;   450;30;15.4;70;630;6.5;;;;;
2012;22;EDÝRNE;3;ÝPSALA;Buðday (Durum) Sulu;;;;   550;30;15.4;70;630;6.5;;;;;
2012;22;EDÝRNE;3;ÝPSALA;Buðday (Diðer) Kuru;  117 758;  117 758;  52 991;   450;30;15.4;70;630;6.5;;;;;
2012;22;EDÝRNE;3;ÝPSALA;Buðday (Diðer) Sulu;  4 817;  4 817;  2 649;   550;30;15.4;70;630;6.5;;;;;
2012;22;EDÝRNE;4;KEÞAN;Buðday (Durum) Kuru;;;;   470;41;15.2;69;620;6.6;;;;;
2012;22;EDÝRNE;4;KEÞAN;Buðday (Durum) Sulu;;;;   570;41;15.2;69;620;6.6;;;;;
2012;22;EDÝRNE;4;KEÞAN;Buðday (Diðer) Kuru;  186 450;  186 450;  87 632;   470;41;15.2;69;620;6.6;;;;;
2012;22;EDÝRNE;4;KEÞAN;Buðday (Diðer) Sulu;  8 587;  8 587;  4 895;   570;41;15.2;69;620;6.6;;;;;
2012;22;EDÝRNE;5;LALAPAÞA;Buðday (Durum) Kuru;;;;   420;30;15.3;68;625;6.5;;;;;
2012;22;EDÝRNE;5;LALAPAÞA;Buðday (Durum) Sulu;;;;   520;30;15.3;68;625;6.5;;;;;
2012;22;EDÝRNE;5;LALAPAÞA;Buðday (Diðer) Kuru;  133 723;  133 723;  56 164;   420;30;15.3;68;625;6.5;;;;;
2012;22;EDÝRNE;5;LALAPAÞA;Buðday (Diðer) Sulu;  1 699;  1 699;   883;   520;30;15.3;68;625;6.5;;;;;
2012;22;EDÝRNE;6;MERÝÇ;Buðday (Durum) Kuru;;;;   400;20;15.4;69;630;6.5;;;;;
2012;22;EDÝRNE;6;MERÝÇ;Buðday (Durum) Sulu;;;;   510;20;15.4;69;630;6.5;;;;;
2012;22;EDÝRNE;6;MERÝÇ;Buðday (Diðer) Kuru;  40 725;  40 725;  16 290;   400;20;15.4;69;630;6.5;;;;;
2012;22;EDÝRNE;6;MERÝÇ;Buðday (Diðer) Sulu;  3 435;  3 435;  1 752;   510;20;15.4;69;630;6.5;;;;;
2012;22;EDÝRNE;7;SÜLOÐLU;Buðday (Durum) Kuru;;;;   400;25;15.5;68;635;6.4;;;;;
2012;22;EDÝRNE;7;SÜLOÐLU;Buðday (Durum) Sulu;;;;   500;25;15.5;68;635;6.4;;;;;
2012;22;EDÝRNE;7;SÜLOÐLU;Buðday (Diðer) Kuru;  53 972;  53 972;  21 589;   400;25;15.5;68;635;6.4;;;;;
2012;22;EDÝRNE;7;SÜLOÐLU;Buðday (Diðer) Sulu;  19 626;  19 626;  9 813;   500;25;15.5;68;635;6.4;;;;;
2012;22;EDÝRNE;8;UZUNKÖPRÜ;Buðday (Durum) Kuru;;;;   450;18;15.3;69;630;6.5;;;;;
