Yýl;Ýl Kodu;Ýl Adý;Ýlce Kodu;Ýlce Adý;Ürün Adý;Ekilen Alan(dekar);Hasat Edilen Alan(dekar);Üretim Miktari(ton);Verim (Kg/Dekar);Rakým (m);Ortalama Sýcaklýk (°C);Nem Oraný (%);Yaðýþ Oraný (mm);Güneþ Iþýðý (saat/gün);;;;;
2012;1;ADANA;11;SAÝMBEYLÝ;Buðday (Durum) Sulu;;;;   300;971;12.0;70;805;8;;;;;
2012;1;ADANA;11;SAÝMBEYLÝ;Buðday (Diðer) Kuru;  39 000;  39 000;  8 580;   220;971;12.0;70;805;8;;;;;
2012;1;ADANA;11;SAÝMBEYLÝ;Buðday (Diðer) Sulu;  2 500;  2 500;   750;   300;971;12.0;70;805;8;;;;;
2012;1;ADANA;12;TUFANBEYLÝ;Buðday (Durum) Kuru;;;;   200;1424;10.0;75;900;7;;;;;
2012;1;ADANA;12;TUFANBEYLÝ;Buðday (Durum) Sulu;;;;   250;1424;10.0;75;900;7;;;;;
2012;1;ADANA;12;TUFANBEYLÝ;Buðday (Diðer) Kuru;  135 000;  135 000;  27 000;   200;1424;10.0;75;900;7;;;;;
2012;1;ADANA;12;TUFANBEYLÝ;Buðday (Diðer) Sulu;  10 000;  10 000;  2 500;   250;1424;10.0;75;900;7;;;;;
2012;1;ADANA;13;YUMURTALIK;Buðday (Durum) Kuru;;;;   350;18;18.7;66;625;9;;;;;
2012;1;ADANA;13;YUMURTALIK;Buðday (Durum) Sulu;;;;   500;18;18.7;66;625;9;;;;;
2012;1;ADANA;13;YUMURTALIK;Buðday (Diðer) Kuru;  97 955;  97 955;  34 284;   350;18;18.7;66;625;9;;;;;
2012;1;ADANA;13;YUMURTALIK;Buðday (Diðer) Sulu;  49 655;  49 655;  24 828;   500;18;18.7;66;625;9;;;;;
2012;1;ADANA;14;SARIÇAM;Buðday (Durum) Kuru;;;;   270;240;18.7;66;625;9;;;;;
2012;1;ADANA;14;SARIÇAM;Buðday (Durum) Sulu;;;;   440;240;18.7;66;625;9;;;;;
2012;1;ADANA;14;SARIÇAM;Buðday (Diðer) Kuru;  136 776;  136 776;  36 930;   270;240;18.7;66;625;9;;;;;
2012;1;ADANA;14;SARIÇAM;Buðday (Diðer) Sulu;  34 758;  34 758;  15 294;   440;240;18.7;66;625;9;;;;;
2012;1;ADANA;15;ÇUKUROVA;Buðday (Durum) Kuru;;;;   324;80;18.7;66;625;9;;;;;
2012;1;ADANA;15;ÇUKUROVA;Buðday (Durum) Sulu;;;;   450;80;18.7;66;625;9;;;;;
2012;1;ADANA;15;ÇUKUROVA;Buðday (Diðer) Kuru;  36 112;  36 112;  11 700;   324;80;18.7;66;625;9;;;;;
2012;1;ADANA;15;ÇUKUROVA;Buðday (Diðer) Sulu;   ;   ;   ;   450;80;18.7;66;625;9;;;;;
2012;2;ADIYAMAN;0;MERKEZ;Buðday (Durum) Kuru;  11 000;  11 000;  2 530;   230;672;15.2;60;810;6.5;;;;;
2012;2;ADIYAMAN;0;MERKEZ;Buðday (Durum) Sulu;  1 806;  1 806;   760;   421;672;15.2;60;810;6.5;;;;;
2012;2;ADIYAMAN;0;MERKEZ;Buðday (Diðer) Kuru;  280 323;  280 323;  69 520;   248;672;15.2;60;810;6.5;;;;;
2012;2;ADIYAMAN;0;MERKEZ;Buðday (Diðer) Sulu;  34 500;  34 500;  14 904;   432;672;15.2;60;810;6.5;;;;;
2012;2;ADIYAMAN;1;BESNÝ;Buðday (Durum) Kuru;  5 000;  5 000;  1 150;   230;910;14.8;62;720;6.3;;;;;
2012;2;ADIYAMAN;1;BESNÝ;Buðday (Durum) Sulu;  6 000;  6 000;  2 400;   400;910;14.8;62;720;6.3;;;;;
2012;2;ADIYAMAN;1;BESNÝ;Buðday (Diðer) Kuru;  47 849;  47 849;  11 388;   238;910;14.8;62;720;6.3;;;;;
2012;2;ADIYAMAN;1;BESNÝ;Buðday (Diðer) Sulu;  58 000;  58 000;  25 520;   440;910;14.8;62;720;6.3;;;;;
2012;2;ADIYAMAN;2;ÇELÝKHAN;Buðday (Durum) Kuru;;;;   200;1378;12.5;65;900;6.0;;;;;
2012;2;ADIYAMAN;2;ÇELÝKHAN;Buðday (Durum) Sulu;;;;   324;1378;12.5;65;900;6.0;;;;;
2012;2;ADIYAMAN;2;ÇELÝKHAN;Buðday (Diðer) Kuru;;;;   200;1378;12.5;65;900;6.0;;;;;
2012;2;ADIYAMAN;2;ÇELÝKHAN;Buðday (Diðer) Sulu;  1 896;  1 896;   614;   324;1378;12.5;65;900;6.0;;;;;
2012;2;ADIYAMAN;3;GERGER;Buðday (Durum) Kuru;;;;   245;750;15.0;58;800;6.4;;;;;
2012;2;ADIYAMAN;3;GERGER;Buðday (Durum) Sulu;;;;   410;750;15.0;58;800;6.4;;;;;
2012;2;ADIYAMAN;3;GERGER;Buðday (Diðer) Kuru;  50 106;  50 106;  12 276;   245;750;15.0;58;800;6.4;;;;;
2012;2;ADIYAMAN;3;GERGER;Buðday (Diðer) Sulu;   316;   316;   130;   410;750;15.0;58;800;6.4;;;;;
2012;2;ADIYAMAN;4;GÖLBAÞI;Buðday (Durum) Kuru;  2 076;  2 076;   494;   238;882;14.9;61;750;6.2;;;;;
2012;2;ADIYAMAN;4;GÖLBAÞI;Buðday (Durum) Sulu;;;;   400;882;14.9;61;750;6.2;;;;;
2012;2;ADIYAMAN;4;GÖLBAÞI;Buðday (Diðer) Sulu;;;;   400;882;14.9;61;750;6.2;;;;;
2012;2;ADIYAMAN;4;GÖLBAÞI;Buðday (Diðer) Kuru;  41 078;  41 078;  10 064;   245;882;14.9;61;750;6.2;;;;;
2012;2;ADIYAMAN;5;KAHTA;Buðday (Durum) Kuru;  15 000;  15 000;  3 450;   230;670;15.1;59;780;6.5;;;;;
2012;2;ADIYAMAN;5;KAHTA;Buðday (Durum) Sulu;  2 000;  2 000;   842;   421;670;15.1;59;780;6.5;;;;;
2012;2;ADIYAMAN;5;KAHTA;Buðday (Diðer) Kuru;  182 368;  182 368;  45 227;   248;670;15.1;59;780;6.5;;;;;
2012;2;ADIYAMAN;5;KAHTA;Buðday (Diðer) Sulu;  11 000;  11 000;  4 950;   450;670;15.1;59;780;6.5;;;;;
2012;2;ADIYAMAN;6;SAMSAT;Buðday (Durum) Kuru;  18 000;  18 000;  4 140;   230;610;15.3;60;810;6.5;;;;;
2012;2;ADIYAMAN;6;SAMSAT;Buðday (Durum) Sulu;  2 708;  2 708;  1 110;   410;610;15.3;60;810;6.5;;;;;
2012;2;ADIYAMAN;6;SAMSAT;Buðday (Diðer) Kuru;  10 000;  10 000;  2 380;   238;610;15.3;60;810;6.5;;;;;
2012;2;ADIYAMAN;6;SAMSAT;Buðday (Diðer) Sulu;  3 000;  3 000;  1 230;   410;610;15.3;60;810;6.5;;;;;
2012;2;ADIYAMAN;7;SÝNCÝK;Buðday (Durum) kuru;;;;   200;1250;13.0;63;850;6.1;;;;;
2012;2;ADIYAMAN;7;SÝNCÝK;Buðday (Durum) Sulu;;;;   320;1250;13.0;63;850;6.1;;;;;
2012;2;ADIYAMAN;7;SÝNCÝK;Buðday (Diðer) Kuru;  31 147;  31 147;  6 229;   200;1250;13.0;63;850;6.1;;;;;
2012;2;ADIYAMAN;7;SÝNCÝK;Buðday (Diðer) Sulu;;;;   320;1250;13.0;63;850;6.1;;;;;
2012;2;ADIYAMAN;8;TUT;Buðday (Durum) Kuru;   181;   181;   39;   216;830;14.7;61;730;6.3;;;;;
2012;2;ADIYAMAN;8;TUT;Buðday (Durum) Sulu;;;;   410;830;14.7;61;730;6.3;;;;;
2012;2;ADIYAMAN;8;TUT;Buðday (Diðer) Kuru;  11 375;  11 375;  2 707;   238;830;14.7;61;730;6.3;;;;;
2012;2;ADIYAMAN;8;TUT;Buðday (Diðer) Sulu;  6 320;  6 320;  2 591;   410;830;14.7;61;730;6.3;;;;;
2012;3;AFYON;0;MERKEZ;Buðday (Durum) Kuru;  78 000;  78 000;  14 820;   190;1034;12.0;55;480;6.5;;;;;
2012;3;AFYON;0;MERKEZ;Buðday (Durum) Sulu;  9 000;  9 000;  2 475;   275;1034;12.0;55;480;6.5;;;;;
2012;3;AFYON;0;MERKEZ;Buðday (Diðer) Kuru;  128 000;  128 000;  24 960;   195;1034;12.0;55;480;6.5;;;;;
2012;3;AFYON;0;MERKEZ;Buðday (Diðer) Sulu;  3 000;  3 000;   885;   295;1034;12.0;55;480;6.5;;;;;
2012;3;AFYON;1;BAÞMAKÇI;Buðday (Durum) Kuru;   147;   147;   32;   220;1150;13.0;52;475;6.6;;;;;
2012;3;AFYON;1;BAÞMAKÇI;Buðday (Durum) Sulu;   491;   491;   142;   290;1150;13.0;52;475;6.6;;;;;
2012;3;AFYON;1;BAÞMAKÇI;Buðday (Diðer) Kuru;  10 794;  10 794;  2 375;   220;1150;13.0;52;475;6.6;;;;;
2012;3;AFYON;1;BAÞMAKÇI;Buðday (Diðer) Sulu;  8 832;  8 832;  2 561;   290;1150;13.0;52;475;6.6;;;;;
2012;3;AFYON;2;BAYAT;Buðday (Durum) Kuru;  8 665;  8 665;  1 386;   160;1180;12.9;54;465;6.5;;;;;
2012;3;AFYON;2;BAYAT;Buðday (Durum) Sulu;   981;   981;   275;   280;1180;12.9;54;465;6.5;;;;;
2012;3;AFYON;2;BAYAT;Buðday (Diðer) Kuru;  17 173;  17 173;  2 834;   165;1180;12.9;54;465;6.5;;;;;
2012;3;AFYON;2;BAYAT;Buðday (Diðer) Sulu;  1 472;  1 472;   412;   280;1180;12.9;54;465;6.5;;;;;
2012;3;AFYON;3;BOLVADÝN;Buðday (Durum) Kuru;  36 000;  36 000;  7 632;   212;1000;12.5;54;470;6.4;;;;;
2012;3;AFYON;3;BOLVADÝN;Buðday (Durum) Sulu;  1 963;  1 963;   609;   310;1000;12.5;54;470;6.4;;;;;
2012;3;AFYON;3;BOLVADÝN;Buðday (Diðer) Kuru;  1 000;  1 000;   212;   212;1000;12.5;54;470;6.4;;;;;
2012;3;AFYON;3;BOLVADÝN;Buðday (Diðer) Sulu;  16 000;  16 000;  4 960;   310;1000;12.5;54;470;6.4;;;;;
2012;3;AFYON;4;ÇAY;Buðday (Durum) Kuru;  9 813;  9 813;  1 864;   190;1100;13.1;54;455;6.4;;;;;
2012;3;AFYON;4;ÇAY;Buðday (Durum) Sulu;  19 381;  19 381;  5 136;   265;1100;13.1;54;455;6.4;;;;;
2012;3;AFYON;4;ÇAY;Buðday (Diðer) Kuru;  19 626;  19 626;  3 925;   200;1100;13.1;54;455;6.4;;;;;
2012;3;AFYON;4;ÇAY;Buðday (Diðer) Sulu;  43 178;  43 178;  11 874;   275;1100;13.1;54;455;6.4;;;;;
2012;3;AFYON;5;ÇOBANLAR;Buðday (Durum) Kuru;  9 000;  9 000;  1 710;   190;1105;12.5;55;455;6.4;;;;;
2012;3;AFYON;5;ÇOBANLAR;Buðday (Durum) Sulu;   785;   785;   196;   250;1105;12.5;55;455;6.4;;;;;
2012;3;AFYON;5;ÇOBANLAR;Buðday (Diðer) Kuru;  7 556;  7 556;  1 511;   200;1105;12.5;55;455;6.4;;;;;
2012;3;AFYON;5;ÇOBANLAR;Buðday (Diðer) Sulu;  11 500;  11 500;  2 875;   250;1105;12.5;55;455;6.4;;;;;
2012;3;AFYON;6;DAZKIRI;Buðday (Durum) Kuru;  5 500;  5 500;  1 045;   190;1106;12.8;53;470;6.6;;;;;
2012;3;AFYON;6;DAZKIRI;Buðday (Durum) Sulu;  3 800;  3 800;  1 045;   275;1106;12.8;53;470;6.6;;;;;
2012;3;AFYON;6;DAZKIRI;Buðday (Diðer) Kuru;;;;   190;1106;12.8;53;470;6.6;;;;;
2012;3;AFYON;6;DAZKIRI;Buðday (Diðer) Sulu;  20 000;  20 000;  5 800;   290;1106;12.8;53;470;6.6;;;;;
2012;3;AFYON;7;DÝNAR;Buðday (Durum) Kuru;  4 220;  4 220;   844;   200;880;13.2;52;470;6.3;;;;;
2012;3;AFYON;7;DÝNAR;Buðday (Durum) Sulu;  36 000;  36 000;  11 880;   330;880;13.2;52;470;6.3;;;;;
2012;3;AFYON;7;DÝNAR;Buðday (Diðer) Kuru;  19 000;  18 850;  3 864;   205;880;13.2;52;470;6.3;;;;;
2012;3;AFYON;7;DÝNAR;Buðday (Diðer) Sulu;  110 000;  109 000;  37 060;   340;880;13.2;52;470;6.3;;;;;
2012;3;AFYON;8;EMÝRDAÐ;Buðday (Durum) Kuru;  10 000;  10 000;  2 150;   215;1050;12.7;55;465;6.5;;;;;
2012;3;AFYON;8;EMÝRDAÐ;Buðday (Durum) Sulu;  2 500;  2 500;   800;   320;1050;12.7;55;465;6.5;;;;;
2012;3;AFYON;8;EMÝRDAÐ;Buðday (Diðer) Kuru;  235 000;  235 000;  51 700;   220;1050;12.7;55;465;6.5;;;;;
2012;3;AFYON;8;EMÝRDAÐ;Buðday (Diðer) Sulu;  15 000;  15 000;  4 800;   320;1050;12.7;55;465;6.5;;;;;
2012;3;AFYON;9;EVCÝLER;Buðday (Durum) Kuru;  17 173;  17 173;  3 435;   200;1120;12.7;52;460;6.3;;;;;
2012;3;AFYON;9;EVCÝLER;Buðday (Durum) Sulu;  2 944;  2 944;   957;   325;1120;12.7;52;460;6.3;;;;;
2012;3;AFYON;9;EVCÝLER;Buðday (Diðer) Kuru;  34 837;  34 837;  6 967;   200;1120;12.7;52;460;6.3;;;;;
2012;3;AFYON;9;EVCÝLER;Buðday (Diðer) Sulu;  1 963;  1 963;   667;   340;1120;12.7;52;460;6.3;;;;;
2012;3;AFYON;10;HOCALAR;Buðday (Durum) Kuru;  3 533;  3 533;   830;   235;1155;13.1;53;455;6.5;;;;;
2012;3;AFYON;10;HOCALAR;Buðday (Durum) Sulu;  1 079;  1 079;   329;   305;1155;13.1;53;455;6.5;;;;;
2012;3;AFYON;10;HOCALAR;Buðday (Diðer) Kuru;  19 136;  19 136;  4 593;   240;1155;13.1;53;455;6.5;;;;;
2012;3;AFYON;10;HOCALAR;Buðday (Diðer) Sulu;  1 472;  1 472;   449;   305;1155;13.1;53;455;6.5;;;;;
2012;3;AFYON;11;ÝHSANÝYE;Buðday (Durum) Kuru;  50 000;  50 000;  10 500;   210;1085;12.9;54;465;6.4;;;;;
2012;3;AFYON;11;ÝHSANÝYE;Buðday (Durum) Sulu;  4 907;  4 907;  1 570;   320;1085;12.9;54;465;6.4;;;;;
2012;3;AFYON;11;ÝHSANÝYE;Buðday (Diðer) Kuru;  125 000;  125 000;  27 500;   220;1085;12.9;54;465;6.4;;;;;
2012;3;AFYON;11;ÝHSANÝYE;Buðday (Diðer) Sulu;  10 000;  10 000;  3 400;   340;1085;12.9;54;465;6.4;;;;;
2012;3;AFYON;12;ÝSCEHÝSAR;Buðday (Durum) Kuru;   490;   490;   82;   168;1080;12.6;53;460;6.5;;;;;
2012;3;AFYON;12;ÝSCEHÝSAR;Buðday (Durum) Sulu;   100;   100;   21;   210;1080;12.6;53;460;6.5;;;;;
2012;3;AFYON;12;ÝSCEHÝSAR;Buðday (Diðer) Kuru;  56 916;  56 916;  9 562;   168;1080;12.6;53;460;6.5;;;;;
