İl Adı,İlce Kodu,İlce Adı,Ürün Adı,Verim (Kg/Dekar)
DİYARBAKIR,17,YENİŞEHİR,Buğday (Durum) Kuru,   280
DİYARBAKIR,17,YENİŞEHİR,Buğday (Durum) Sulu,   475
DİYARBAKIR,17,YENİŞEHİR,Buğday (Diğer) Kuru,   281
DİYARBAKIR,17,YENİŞEHİR,Buğday (Diğer) Sulu,   486
EDİRNE,0,MERKEZ,Buğday (Durum) Kuru,   470
EDİRNE,0,MERKEZ,Buğday (Durum) Sulu,   570
EDİRNE,0,MERKEZ,Buğday (Diğer) Kuru,   470
EDİRNE,0,MERKEZ,Buğday (Diğer) Sulu,   570
EDİRNE,1,ENEZ,Buğday (Durum) Kuru,   430
EDİRNE,1,ENEZ,Buğday (Durum) Sulu,   530
EDİRNE,1,ENEZ,Buğday (Diğer) Kuru,   430
EDİRNE,1,ENEZ,Buğday (Diğer) Sulu,   530
EDİRNE,2,HAVSA,Buğday (Durum) Kuru,   440
EDİRNE,2,HAVSA,Buğday (Durum) Sulu,   540
EDİRNE,2,HAVSA,Buğday (Diğer) Kuru,   440
EDİRNE,2,HAVSA,Buğday (Diğer) Sulu,   540
EDİRNE,3,İPSALA,Buğday (Durum) Kuru,   450
EDİRNE,3,İPSALA,Buğday (Durum) Sulu,   550
EDİRNE,3,İPSALA,Buğday (Diğer) Kuru,   450
EDİRNE,3,İPSALA,Buğday (Diğer) Sulu,   550
EDİRNE,4,KEŞAN,Buğday (Durum) Kuru,   470
EDİRNE,4,KEŞAN,Buğday (Durum) Sulu,   570
EDİRNE,4,KEŞAN,Buğday (Diğer) Kuru,   470
EDİRNE,4,KEŞAN,Buğday (Diğer) Sulu,   570
EDİRNE,5,LALAPAŞA,Buğday (Durum) Kuru,   420
EDİRNE,5,LALAPAŞA,Buğday (Durum) Sulu,   520
EDİRNE,5,LALAPAŞA,Buğday (Diğer) Kuru,   420
EDİRNE,5,LALAPAŞA,Buğday (Diğer) Sulu,   520
EDİRNE,6,MERİÇ,Buğday (Durum) Kuru,   400
EDİRNE,6,MERİÇ,Buğday (Durum) Sulu,   510
EDİRNE,6,MERİÇ,Buğday (Diğer) Kuru,   400
EDİRNE,6,MERİÇ,Buğday (Diğer) Sulu,   510
EDİRNE,7,SÜLOĞLU,Buğday (Durum) Kuru,   400
EDİRNE,7,SÜLOĞLU,Buğday (Durum) Sulu,   500
EDİRNE,7,SÜLOĞLU,Buğday (Diğer) Kuru,   400
EDİRNE,7,SÜLOĞLU,Buğday (Diğer) Sulu,   500
EDİRNE,8,UZUNKÖPRÜ,Buğday (Durum) Kuru,   450
EDİRNE,8,UZUNKÖPRÜ,Buğday (Durum) Sulu,   550
EDİRNE,8,UZUNKÖPRÜ,Buğday (Diğer) Kuru,   450
EDİRNE,8,UZUNKÖPRÜ,Buğday (Diğer) Sulu,   550
ELAZIĞ,0,MERKEZ,Buğday (Durum) Kuru,   240
ELAZIĞ,0,MERKEZ,Buğday (Durum) Sulu,   360
ELAZIĞ,0,MERKEZ,Buğday (Diğer) Kuru,   240
ELAZIĞ,0,MERKEZ,Buğday (Diğer) Sulu,   355
ELAZIĞ,1,AĞIN,Buğday (Durum) Kuru,   200
ELAZIĞ,1,AĞIN,Buğday (Durum) Sulu,   330
ELAZIĞ,1,AĞIN,Buğday (Diğer) Kuru,   200
ELAZIĞ,1,AĞIN,Buğday (Diğer) Sulu,   330
ELAZIĞ,2,ALACAKAYA,Buğday (Durum) Kuru,   180
ELAZIĞ,2,ALACAKAYA,Buğday (Durum) Sulu,   250
ELAZIĞ,2,ALACAKAYA,Buğday (Diğer) Kuru,   180
ELAZIĞ,2,ALACAKAYA,Buğday (Diğer) Sulu,   250
ELAZIĞ,3,ARICAK,Buğday (Durum) Kuru,   200
ELAZIĞ,3,ARICAK,Buğday (Durum) Sulu,   280
ELAZIĞ,3,ARICAK,Buğday (Diğer) Kuru,   200
ELAZIĞ,3,ARICAK,Buğday (Diğer) Sulu,   280
ELAZIĞ,4,BASKİL,Buğday (Durum) Kuru,   220
ELAZIĞ,4,BASKİL,Buğday (Durum) Sulu,   325
ELAZIĞ,4,BASKİL,Buğday (Diğer) Kuru,   220
ELAZIĞ,4,BASKİL,Buğday (Diğer) Sulu,   325
ELAZIĞ,5,KARAKOÇAN,Buğday (Durum) Kuru,   190
ELAZIĞ,5,KARAKOÇAN,Buğday (Durum) Sulu,   300
ELAZIĞ,5,KARAKOÇAN,Buğday (Diğer) Kuru,   190
ELAZIĞ,5,KARAKOÇAN,Buğday (Diğer) Sulu,   300
ELAZIĞ,6,KEBAN,Buğday (Durum) Kuru,   170
ELAZIĞ,6,KEBAN,Buğday (Durum) Sulu,   270
ELAZIĞ,6,KEBAN,Buğday (Diğer) Kuru,   170
ELAZIĞ,6,KEBAN,Buğday (Diğer) Sulu,   270
ELAZIĞ,7,KOVANCILAR,Buğday (Durum) Kuru,   270
ELAZIĞ,7,KOVANCILAR,Buğday (Durum) Sulu,   345
ELAZIĞ,7,KOVANCILAR,Buğday (Diğer) Kuru,   270
ELAZIĞ,7,KOVANCILAR,Buğday (Diğer) Sulu,   340
ELAZIĞ,8,MADEN,Buğday (Durum) Kuru,   200
ELAZIĞ,8,MADEN,Buğday (Durum) Sulu,   290
ELAZIĞ,8,MADEN,Buğday (Diğer) Kuru,   200
ELAZIĞ,8,MADEN,Buğday (Diğer) Sulu,   290
ELAZIĞ,9,PALU,Buğday (Durum) Kuru,   230
ELAZIĞ,9,PALU,Buğday (Durum) Sulu,   330
ELAZIĞ,9,PALU,Buğday (Diğer) Kuru,   230
ELAZIĞ,9,PALU,Buğday (Diğer) Sulu,   330
ELAZIĞ,10,SİVRİCE,Buğday (Durum) Kuru,   190
ELAZIĞ,10,SİVRİCE,Buğday (Durum) Sulu,   259
ELAZIĞ,10,SİVRİCE,Buğday (Diğer) Kuru,   190
ELAZIĞ,10,SİVRİCE,Buğday (Diğer) Sulu,   259
ERZİNCAN,0,MERKEZ,Buğday (Durum) Kuru,   180
ERZİNCAN,0,MERKEZ,Buğday (Durum) Sulu,   290
ERZİNCAN,0,MERKEZ,Buğday (Diğer) Kuru,   180
ERZİNCAN,0,MERKEZ,Buğday (Diğer) Sulu,   305
ERZİNCAN,1,ÇAYIRLI,Buğday (Durum) Kuru,   140
ERZİNCAN,1,ÇAYIRLI,Buğday (Durum) Sulu,   260
ERZİNCAN,1,ÇAYIRLI,Buğday (Diğer) Kuru,   140
ERZİNCAN,1,ÇAYIRLI,Buğday (Diğer) Sulu,   260
ERZİNCAN,2,İLİÇ,Buğday (Durum) Kuru,   150
ERZİNCAN,2,İLİÇ,Buğday (Durum) Sulu,   270
ERZİNCAN,2,İLİÇ,Buğday (Diğer) Kuru,   150
ERZİNCAN,2,İLİÇ,Buğday (Diğer) Sulu,   270
ERZİNCAN,3,KEMAH,Buğday (Durum) Kuru,   130
ERZİNCAN,3,KEMAH,Buğday (Durum) Sulu,   200
ERZİNCAN,3,KEMAH,Buğday (Diğer) Kuru,   130
ERZİNCAN,3,KEMAH,Buğday (Diğer) Sulu,   200
ERZİNCAN,4,KEMALİYE,Buğday (Durum) Kuru,   155
ERZİNCAN,4,KEMALİYE,Buğday (Durum) Sulu,   210
ERZİNCAN,4,KEMALİYE,Buğday (Diğer) Kuru,   155
ERZİNCAN,4,KEMALİYE,Buğday (Diğer) Sulu,   210
ERZİNCAN,5,OTLUKBELİ,Buğday (Durum) Kuru,   200
ERZİNCAN,5,OTLUKBELİ,Buğday (Durum) Sulu,   290
ERZİNCAN,5,OTLUKBELİ,Buğday (Diğer) Kuru,   200
ERZİNCAN,5,OTLUKBELİ,Buğday (Diğer) Sulu,   295
ERZİNCAN,6,REFAHİYE,Buğday (Durum) Kuru,   180
ERZİNCAN,6,REFAHİYE,Buğday (Durum) Sulu,   280
ERZİNCAN,6,REFAHİYE,Buğday (Diğer) Kuru,   180
ERZİNCAN,6,REFAHİYE,Buğday (Diğer) Sulu,   280
ERZİNCAN,7,TERCAN,Buğday (Durum) Kuru,   180
ERZİNCAN,7,TERCAN,Buğday (Durum) Sulu,   280
ERZİNCAN,7,TERCAN,Buğday (Diğer) Kuru,   180
ERZİNCAN,7,TERCAN,Buğday (Diğer) Sulu,   280
ERZİNCAN,8,ÜZÜMLÜ,Buğday (Durum) Kuru,   200
ERZİNCAN,8,ÜZÜMLÜ,Buğday (Durum) Sulu,   300
ERZİNCAN,8,ÜZÜMLÜ,Buğday (Diğer) Kuru,   204
ERZİNCAN,8,ÜZÜMLÜ,Buğday (Diğer) Sulu,   271
ERZURUM,1,AŞKALE,Buğday (Durum) Kuru,   112
ERZURUM,1,AŞKALE,Buğday (Durum) Sulu,   224
ERZURUM,1,AŞKALE,Buğday (Diğer) Kuru,   112
ERZURUM,1,AŞKALE,Buğday (Diğer) Sulu,   224
ERZURUM,2,ÇAT,Buğday (Durum) Kuru,   105
ERZURUM,2,ÇAT,Buğday (Durum) Sulu,   175
ERZURUM,2,ÇAT,Buğday (Diğer) Kuru,   105
ERZURUM,2,ÇAT,Buğday (Diğer) Sulu,   175
ERZURUM,3,HINIS,Buğday (Durum) Kuru,   97
ERZURUM,3,HINIS,Buğday (Durum) Sulu,   208
ERZURUM,3,HINIS,Buğday (Diğer) Kuru,   97
ERZURUM,3,HINIS,Buğday (Diğer) Sulu,   208
ERZURUM,4,HORASAN,Buğday (Durum) Kuru,   105
ERZURUM,4,HORASAN,Buğday (Durum) Sulu,   210
ERZURUM,4,HORASAN,Buğday (Diğer) Kuru,   105
ERZURUM,4,HORASAN,Buğday (Diğer) Sulu,   210
ERZURUM,5,AZİZİYE,Buğday (Durum) Kuru,   120
ERZURUM,5,AZİZİYE,Buğday (Durum) Sulu,   210
ERZURUM,5,AZİZİYE,Buğday (Diğer) Kuru,   120
ERZURUM,5,AZİZİYE,Buğday (Diğer) Sulu,   210
ERZURUM,6,İSPİR,Buğday (Durum) Kuru,   105
ERZURUM,6,İSPİR,Buğday (Durum) Sulu,   182
ERZURUM,6,İSPİR,Buğday (Diğer) Kuru,   105
ERZURUM,6,İSPİR,Buğday (Diğer) Sulu,   182
ERZURUM,7,KARAÇOBAN,Buğday (Durum) Kuru,   105
ERZURUM,7,KARAÇOBAN,Buğday (Durum) Sulu,   175
ERZURUM,7,KARAÇOBAN,Buğday (Diğer) Kuru,   105
ERZURUM,7,KARAÇOBAN,Buğday (Diğer) Sulu,   175
ERZURUM,8,KARAYAZI,Buğday (Durum) Kuru,   105
ERZURUM,8,KARAYAZI,Buğday (Durum) Sulu,   160
ERZURUM,8,KARAYAZI,Buğday (Diğer) Kuru,   105
ERZURUM,8,KARAYAZI,Buğday (Diğer) Sulu,   160
ERZURUM,9,KÖPRÜKÖY,Buğday (Durum) Kuru,   110
ERZURUM,9,KÖPRÜKÖY,Buğday (Durum) Sulu,   280
ERZURUM,9,KÖPRÜKÖY,Buğday (Diğer) Kuru,   110
ERZURUM,9,KÖPRÜKÖY,Buğday (Diğer) Sulu,   280
ERZURUM,10,NARMAN,Buğday (Durum) Kuru,   108
ERZURUM,10,NARMAN,Buğday (Durum) Sulu,   204
ERZURUM,10,NARMAN,Buğday (Diğer) Kuru,   108
ERZURUM,10,NARMAN,Buğday (Diğer) Sulu,   204
ERZURUM,11,OLTU,Buğday (Durum) Kuru,   112
ERZURUM,11,OLTU,Buğday (Durum) Sulu,   210
ERZURUM,11,OLTU,Buğday (Diğer) Kuru,   112
ERZURUM,11,OLTU,Buğday (Diğer) Sulu,   210
ERZURUM,12,OLUR,Buğday (Durum) Kuru,   119
ERZURUM,12,OLUR,Buğday (Durum) Sulu,   210
ERZURUM,12,OLUR,Buğday (Diğer) Kuru,   119
ERZURUM,12,OLUR,Buğday (Diğer) Sulu,   210
ERZURUM,13,PASİNLER,Buğday (Durum) Kuru,   105
ERZURUM,13,PASİNLER,Buğday (Durum) Sulu,   245
ERZURUM,13,PASİNLER,Buğday (Diğer) Kuru,   105
ERZURUM,13,PASİNLER,Buğday (Diğer) Sulu,   245
ERZURUM,14,PAZARYOLU,Buğday (Durum) Kuru,   126
ERZURUM,14,PAZARYOLU,Buğday (Durum) Sulu,   210
ERZURUM,14,PAZARYOLU,Buğday (Diğer) Kuru,   126
ERZURUM,14,PAZARYOLU,Buğday (Diğer) Sulu,   210
ERZURUM,15,ŞENKAYA,Buğday (Durum) Kuru,   110
ERZURUM,15,ŞENKAYA,Buğday (Durum) Sulu,   240
ERZURUM,15,ŞENKAYA,Buğday (Diğer) Kuru,   110
ERZURUM,15,ŞENKAYA,Buğday (Diğer) Sulu,   240
ERZURUM,16,TEKMAN,Buğday (Durum) Kuru,   105
ERZURUM,16,TEKMAN,Buğday (Durum) Sulu,   215
ERZURUM,16,TEKMAN,Buğday (Diğer) Kuru,   105
ERZURUM,16,TEKMAN,Buğday (Diğer) Sulu,   215
ERZURUM,17,TORTUM,Buğday (Durum) Kuru,   150
ERZURUM,17,TORTUM,Buğday (Durum) Sulu,   242
ERZURUM,17,TORTUM,Buğday (Diğer) Kuru,   150
ERZURUM,17,TORTUM,Buğday (Diğer) Sulu,   242
ERZURUM,18,UZUNDERE,Buğday (Durum) Kuru,   140
ERZURUM,18,UZUNDERE,Buğday (Durum) Sulu,   280
ERZURUM,18,UZUNDERE,Buğday (Diğer) Kuru,   140
ERZURUM,18,UZUNDERE,Buğday (Diğer) Sulu,   280
ERZURUM,19,PALANDÖKEN,Buğday (Durum) Kuru,   110
ERZURUM,19,PALANDÖKEN,Buğday (Durum) Sulu,   210
ERZURUM,19,PALANDÖKEN,Buğday (Diğer) Kuru,   110
ERZURUM,19,PALANDÖKEN,Buğday (Diğer) Sulu,   210
ERZURUM,20,YAKUTİYE,Buğday (Durum) Kuru,   120
ERZURUM,20,YAKUTİYE,Buğday (Durum) Sulu,   250
ERZURUM,20,YAKUTİYE,Buğday (Diğer) Kuru,   120
ERZURUM,20,YAKUTİYE,Buğday (Diğer) Sulu,   250
ESKİŞEHİR,1,ALPU,Buğday (Durum) Kuru,   190
ESKİŞEHİR,1,ALPU,Buğday (Durum) Sulu,   400
ESKİŞEHİR,1,ALPU,Buğday (Diğer) Kuru,   194
ESKİŞEHİR,1,ALPU,Buğday (Diğer) Sulu,   410
ESKİŞEHİR,2,BEYLİKOVA,Buğday (Durum) Kuru,   220
ESKİŞEHİR,2,BEYLİKOVA,Buğday (Durum) Sulu,   430
ESKİŞEHİR,2,BEYLİKOVA,Buğday (Diğer) Kuru,   225
ESKİŞEHİR,2,BEYLİKOVA,Buğday (Diğer) Sulu,   440
ESKİŞEHİR,3,ÇİFTELER,Buğday (Durum) Kuru,   195
ESKİŞEHİR,3,ÇİFTELER,Buğday (Durum) Sulu,   415
ESKİŞEHİR,3,ÇİFTELER,Buğday (Diğer) Kuru,   200
ESKİŞEHİR,3,ÇİFTELER,Buğday (Diğer) Sulu,   420
ESKİŞEHİR,4,GÜNYÜZÜ,Buğday (Durum) Kuru,   215
ESKİŞEHİR,4,GÜNYÜZÜ,Buğday (Durum) Sulu,   410
ESKİŞEHİR,4,GÜNYÜZÜ,Buğday (Diğer) Kuru,   220
ESKİŞEHİR,4,GÜNYÜZÜ,Buğday (Diğer) Sulu,   420
ESKİŞEHİR,5,HAN,Buğday (Durum) Kuru,   220
ESKİŞEHİR,5,HAN,Buğday (Durum) Sulu,   340
ESKİŞEHİR,5,HAN,Buğday (Diğer) Kuru,   227
ESKİŞEHİR,5,HAN,Buğday (Diğer) Sulu,   346
ESKİŞEHİR,6,İNÖNÜ,Buğday (Durum) Kuru,   220
ESKİŞEHİR,6,İNÖNÜ,Buğday (Durum) Sulu,   310
ESKİŞEHİR,6,İNÖNÜ,Buğday (Diğer) Kuru,   227
ESKİŞEHİR,6,İNÖNÜ,Buğday (Diğer) Sulu,   317
ESKİŞEHİR,7,MAHMUDİYE,Buğday (Durum) Kuru,   210
ESKİŞEHİR,7,MAHMUDİYE,Buğday (Durum) Sulu,   350
ESKİŞEHİR,7,MAHMUDİYE,Buğday (Diğer) Kuru,   216
ESKİŞEHİR,7,MAHMUDİYE,Buğday (Diğer) Sulu,   356
ESKİŞEHİR,8,MİHALGAZİ,Buğday (Durum) Kuru,   210
ESKİŞEHİR,8,MİHALGAZİ,Buğday (Durum) Sulu,   350
ESKİŞEHİR,8,MİHALGAZİ,Buğday (Diğer) Kuru,   215
ESKİŞEHİR,8,MİHALGAZİ,Buğday (Diğer) Sulu,   355
ESKİŞEHİR,9,MİHALIÇÇIK,Buğday (Durum) Kuru,   210
ESKİŞEHİR,9,MİHALIÇÇIK,Buğday (Durum) Sulu,   380
ESKİŞEHİR,9,MİHALIÇÇIK,Buğday (Diğer) Kuru,   216
ESKİŞEHİR,9,MİHALIÇÇIK,Buğday (Diğer) Sulu,   389
ESKİŞEHİR,10,SARICAKAYA,Buğday (Durum) Kuru,   210
ESKİŞEHİR,10,SARICAKAYA,Buğday (Durum) Sulu,   320
ESKİŞEHİR,10,SARICAKAYA,Buğday (Diğer) Kuru,   227
ESKİŞEHİR,10,SARICAKAYA,Buğday (Diğer) Sulu,   346
ESKİŞEHİR,11,SEYİTGAZİ,Buğday (Durum) Kuru,   200
ESKİŞEHİR,11,SEYİTGAZİ,Buğday (Durum) Sulu,   340
ESKİŞEHİR,11,SEYİTGAZİ,Buğday (Diğer) Kuru,   205
ESKİŞEHİR,11,SEYİTGAZİ,Buğday (Diğer) Sulu,   346
ESKİŞEHİR,12,SİVRİHİSAR,Buğday (Durum) Kuru,   205
ESKİŞEHİR,12,SİVRİHİSAR,Buğday (Durum) Sulu,   340
ESKİŞEHİR,12,SİVRİHİSAR,Buğday (Diğer) Kuru,   205
ESKİŞEHİR,12,SİVRİHİSAR,Buğday (Diğer) Sulu,   356
ESKİŞEHİR,13,ODUNPAZARI,Buğday (Durum) Kuru,   230
ESKİŞEHİR,13,ODUNPAZARI,Buğday (Durum) Sulu,   400
ESKİŞEHİR,13,ODUNPAZARI,Buğday (Diğer) Kuru,   238
ESKİŞEHİR,13,ODUNPAZARI,Buğday (Diğer) Sulu,   410
ESKİŞEHİR,14,TEPEBAŞI,Buğday (Durum) Kuru,   235
ESKİŞEHİR,14,TEPEBAŞI,Buğday (Durum) Sulu,   400
ESKİŞEHİR,14,TEPEBAŞI,Buğday (Diğer) Kuru,   238
ESKİŞEHİR,14,TEPEBAŞI,Buğday (Diğer) Sulu,   400
GAZİANTEP,1,ŞAHİNBEY,Buğday (Durum) Kuru,   200
GAZİANTEP,1,ŞAHİNBEY,Buğday (Durum) Sulu,   400
GAZİANTEP,1,ŞAHİNBEY,Buğday (Diğer) Kuru,   248
GAZİANTEP,1,ŞAHİNBEY,Buğday (Diğer) Sulu,   432
GAZİANTEP,2,ŞEHİTKAMİL,Buğday (Durum) Kuru,   216
GAZİANTEP,2,ŞEHİTKAMİL,Buğday (Durum) Sulu,   432
GAZİANTEP,2,ŞEHİTKAMİL,Buğday (Diğer) Kuru,   240
GAZİANTEP,2,ŞEHİTKAMİL,Buğday (Diğer) Sulu,   432
GAZİANTEP,3,ARABAN,Buğday (Durum) Kuru,   250
GAZİANTEP,3,ARABAN,Buğday (Durum) Sulu,   400
GAZİANTEP,3,ARABAN,Buğday (Diğer) Kuru,   270
GAZİANTEP,3,ARABAN,Buğday (Diğer) Sulu,   478
GAZİANTEP,4,İSLAHİYE,Buğday (Durum) Kuru,   280
GAZİANTEP,4,İSLAHİYE,Buğday (Durum) Sulu,   432
GAZİANTEP,4,İSLAHİYE,Buğday (Diğer) Kuru,   280
GAZİANTEP,4,İSLAHİYE,Buğday (Diğer) Sulu,   462
GAZİANTEP,5,KARKAMIŞ,Buğday (Durum) Kuru,   200
GAZİANTEP,5,KARKAMIŞ,Buğday (Durum) Sulu,   365
GAZİANTEP,5,KARKAMIŞ,Buğday (Diğer) Kuru,   205
GAZİANTEP,5,KARKAMIŞ,Buğday (Diğer) Sulu,   450
GAZİANTEP,6,NİZİP,Buğday (Durum) Kuru,   216
GAZİANTEP,6,NİZİP,Buğday (Durum) Sulu,   432
GAZİANTEP,6,NİZİP,Buğday (Diğer) Kuru,   240
GAZİANTEP,6,NİZİP,Buğday (Diğer) Sulu,   478
GAZİANTEP,7,NURDAĞI,Buğday (Durum) Kuru,   270
GAZİANTEP,7,NURDAĞI,Buğday (Durum) Sulu,   475
GAZİANTEP,7,NURDAĞI,Buğday (Diğer) Kuru,   270
GAZİANTEP,7,NURDAĞI,Buğday (Diğer) Sulu,   486
GAZİANTEP,8,OĞUZELİ,Buğday (Durum) Kuru,   265
GAZİANTEP,8,OĞUZELİ,Buğday (Durum) Sulu,   470
GAZİANTEP,8,OĞUZELİ,Buğday (Diğer) Kuru,   270
GAZİANTEP,8,OĞUZELİ,Buğday (Diğer) Sulu,   486
GAZİANTEP,9,YAVUZELİ,Buğday (Durum) Kuru,   280
GAZİANTEP,9,YAVUZELİ,Buğday (Durum) Sulu,   400
GAZİANTEP,9,YAVUZELİ,Buğday (Diğer) Kuru,   292
GAZİANTEP,9,YAVUZELİ,Buğday (Diğer) Sulu,   470
GİRESUN,1,ALUCRA,Buğday (Durum) Kuru,   120
GİRESUN,1,ALUCRA,Buğday (Durum) Sulu,   220
GİRESUN,1,ALUCRA,Buğday (Diğer) Kuru,   120
GİRESUN,1,ALUCRA,Buğday (Diğer) Sulu,   220
GİRESUN,3,ÇAMOLUK,Buğday (Durum) Kuru,   100
GİRESUN,3,ÇAMOLUK,Buğday (Durum) Sulu,   200
GİRESUN,3,ÇAMOLUK,Buğday (Diğer) Kuru,   100
GİRESUN,3,ÇAMOLUK,Buğday (Diğer) Sulu,   200
GİRESUN,13,ŞEBİNKARAHİSAR,Buğday (Durum) Kuru,   110
GİRESUN,13,ŞEBİNKARAHİSAR,Buğday (Durum) Sulu,   220
GİRESUN,13,ŞEBİNKARAHİSAR,Buğday (Diğer) Kuru,   110
GİRESUN,13,ŞEBİNKARAHİSAR,Buğday (Diğer) Sulu,   220
GÜMÜŞHANE,0,MERKEZ,Buğday (Durum) Kuru,   190
GÜMÜŞHANE,0,MERKEZ,Buğday (Durum) Sulu,   310
GÜMÜŞHANE,0,MERKEZ,Buğday (Diğer) Kuru,   190
GÜMÜŞHANE,0,MERKEZ,Buğday (Diğer) Sulu,   310
GÜMÜŞHANE,1,KELKİT,Buğday (Durum) Kuru,   190
GÜMÜŞHANE,1,KELKİT,Buğday (Durum) Sulu,   290
GÜMÜŞHANE,1,KELKİT,Buğday (Diğer) Kuru,   190
GÜMÜŞHANE,1,KELKİT,Buğday (Diğer) Sulu,   290
GÜMÜŞHANE,2,KÖSE,Buğday (Durum) Kuru,   120
GÜMÜŞHANE,2,KÖSE,Buğday (Durum) Sulu,   200
GÜMÜŞHANE,2,KÖSE,Buğday (Diğer) Kuru,   140
GÜMÜŞHANE,2,KÖSE,Buğday (Diğer) Sulu,   200
GÜMÜŞHANE,3,KÜRTÜN,Buğday (Durum) Kuru,   150
GÜMÜŞHANE,3,KÜRTÜN,Buğday (Durum) Sulu,   220
GÜMÜŞHANE,3,KÜRTÜN,Buğday (Diğer) Kuru,   170
GÜMÜŞHANE,4,ŞİRAN,Buğday (Durum) Kuru,   130
GÜMÜŞHANE,4,ŞİRAN,Buğday (Durum) Sulu,   220
GÜMÜŞHANE,4,ŞİRAN,Buğday (Diğer) Kuru,   130
GÜMÜŞHANE,4,ŞİRAN,Buğday (Diğer) Sulu,   220
GÜMÜŞHANE,5,TORUL,Buğday (Durum) Kuru,   180
GÜMÜŞHANE,5,TORUL,Buğday (Durum) Sulu,   250
GÜMÜŞHANE,5,TORUL,Buğday (Diğer) Kuru,   180
GÜMÜŞHANE,5,TORUL,Buğday (Diğer) Sulu,   250
HAKKARİ,0,MERKEZ,Buğday (Durum) Kuru,   140
HAKKARİ,0,MERKEZ,Buğday (Durum) Sulu,   180
HAKKARİ,0,MERKEZ,Buğday (Diğer) Kuru,   140
HAKKARİ,0,MERKEZ,Buğday (Diğer) Sulu,   180
HAKKARİ,1,ÇUKURCA,Buğday (Durum) Kuru,   140
HAKKARİ,1,ÇUKURCA,Buğday (Durum) Sulu,   180
HAKKARİ,1,ÇUKURCA,Buğday (Diğer) Kuru,   140
HAKKARİ,1,ÇUKURCA,Buğday (Diğer) Sulu,   180
HAKKARİ,2,ŞEMDİNLİ,Buğday (Durum) Kuru,   140
HAKKARİ,2,ŞEMDİNLİ,Buğday (Durum) Sulu,   180
HAKKARİ,2,ŞEMDİNLİ,Buğday (Diğer) Kuru,   140
HAKKARİ,2,ŞEMDİNLİ,Buğday (Diğer) Sulu,   180
HAKKARİ,3,YÜKSEKOVA,Buğday (Durum) Kuru,   140
HAKKARİ,3,YÜKSEKOVA,Buğday (Durum) Sulu,   180
HAKKARİ,3,YÜKSEKOVA,Buğday (Diğer) Kuru,   140
HAKKARİ,3,YÜKSEKOVA,Buğday (Diğer) Sulu,   180
HATAY,0,MERKEZ,Buğday (Durum) Kuru,   250
HATAY,0,MERKEZ,Buğday (Durum) Sulu,   400
HATAY,0,MERKEZ,Buğday (Diğer) Kuru,   250
HATAY,0,MERKEZ,Buğday (Diğer) Sulu,   450
HATAY,1,ALTINÖZÜ,Buğday (Durum) Kuru,   200
HATAY,1,ALTINÖZÜ,Buğday (Durum) Sulu,   450
HATAY,1,ALTINÖZÜ,Buğday (Diğer) Kuru,   200
HATAY,1,ALTINÖZÜ,Buğday (Diğer) Sulu,   450
HATAY,2,BELEN,Buğday (Durum) Kuru,   210
HATAY,2,BELEN,Buğday (Durum) Sulu,   470
HATAY,2,BELEN,Buğday (Diğer) Kuru,   210
HATAY,2,BELEN,Buğday (Diğer) Sulu,   470
HATAY,3,DÖRTYOL,Buğday (Durum) Kuru,   250
HATAY,3,DÖRTYOL,Buğday (Durum) Sulu,   450
HATAY,3,DÖRTYOL,Buğday (Diğer) Kuru,   250
HATAY,3,DÖRTYOL,Buğday (Diğer) Sulu,   450
HATAY,4,ERZİN,Buğday (Durum) Kuru,   250
HATAY,4,ERZİN,Buğday (Durum) Sulu,   450
HATAY,4,ERZİN,Buğday (Diğer) Kuru,   250
HATAY,4,ERZİN,Buğday (Diğer) Sulu,   450
HATAY,5,HASSA,Buğday (Durum) Kuru,   270
HATAY,5,HASSA,Buğday (Durum) Sulu,   465
HATAY,5,HASSA,Buğday (Diğer) Kuru,   270
HATAY,5,HASSA,Buğday (Diğer) Sulu,   465
HATAY,6,İSKENDERUN,Buğday (Durum) Kuru,   240
HATAY,6,İSKENDERUN,Buğday (Durum) Sulu,   470
HATAY,6,İSKENDERUN,Buğday (Diğer) Kuru,   240
HATAY,6,İSKENDERUN,Buğday (Diğer) Sulu,   470
HATAY,7,KIRIKHAN,Buğday (Durum) Kuru,   250
HATAY,7,KIRIKHAN,Buğday (Durum) Sulu,   480
HATAY,7,KIRIKHAN,Buğday (Diğer) Kuru,   250
HATAY,7,KIRIKHAN,Buğday (Diğer) Sulu,   480
HATAY,8,KUMLU,Buğday (Durum) Kuru,   245
HATAY,8,KUMLU,Buğday (Durum) Sulu,   490
HATAY,8,KUMLU,Buğday (Diğer) Kuru,   250
HATAY,8,KUMLU,Buğday (Diğer) Sulu,   490
HATAY,9,REYHANLI,Buğday (Durum) Kuru,   250
HATAY,9,REYHANLI,Buğday (Durum) Sulu,   470
HATAY,9,REYHANLI,Buğday (Diğer) Kuru,   250
HATAY,9,REYHANLI,Buğday (Diğer) Sulu,   470
HATAY,10,SAMANDAĞ,Buğday (Durum) Kuru,   250
HATAY,10,SAMANDAĞ,Buğday (Durum) Sulu,   350
HATAY,10,SAMANDAĞ,Buğday (Diğer) Kuru,   250
HATAY,10,SAMANDAĞ,Buğday (Diğer) Sulu,   350
HATAY,11,YAYLADAĞI,Buğday (Durum) Kuru,   230
